country,college_tier,specialization,cgpa,aptitude_score,university_ranking_band,industry,predicted_salary,predicted_salary_display
Canada,Tier 1,Cloud,7.187092080807398,71.07474822519706,100-300,Tech,112929.34080013126,"$112,929"
Canada,Tier 2,Cloud,7.187092080807398,71.07474822519706,100-300,Tech,97307.39294572099,"$97,307"
Canada,Tier 3,Cloud,7.187092080807398,71.07474822519706,100-300,Tech,79969.4391531283,"$79,969"
Germany,Tier 1,Cloud,7.187092080807398,71.07474822519706,100-300,Tech,109232.61734146709,"$109,233"
Germany,Tier 2,Cloud,7.187092080807398,71.07474822519706,100-300,Tech,93554.63114856093,"$93,555"
Germany,Tier 3,Cloud,7.187092080807398,71.07474822519706,100-300,Tech,76318.64953840987,"$76,319"
India,Tier 1,Cloud,7.187092080807398,71.07474822519706,100-300,Tech,62348.26896867667,"$62,348"
India,Tier 2,Cloud,7.187092080807398,71.07474822519706,100-300,Tech,53001.89876856317,"$53,002"
India,Tier 3,Cloud,7.187092080807398,71.07474822519706,100-300,Tech,44028.44143502396,"$44,028"
UK,Tier 1,Cloud,7.187092080807398,71.07474822519706,100-300,Tech,115402.5500964823,"$115,403"
UK,Tier 2,Cloud,7.187092080807398,71.07474822519706,100-300,Tech,101973.45851664363,"$101,973"
UK,Tier 3,Cloud,7.187092080807398,71.07474822519706,100-300,Tech,83964.75475103923,"$83,965"
USA,Tier 1,Cloud,7.187092080807398,71.07474822519706,100-300,Tech,121724.91202644282,"$121,725"
USA,Tier 2,Cloud,7.187092080807398,71.07474822519706,100-300,Tech,115597.31171222327,"$115,597"
USA,Tier 3,Cloud,7.187092080807398,71.07474822519706,100-300,Tech,98789.41759511849,"$98,789"
